DATE,DIV,GDP
1/1/1997,24110.350000000000,136624.4
1/1/1998,26116.500000000000,149653.7
1/1/1999,25847.600000000000,162411.7
1/1/2000,28677.100000000000,179303.3
1/1/2001,29802.400000000000,185848.9
1/1/2002,28893.200000000000,189604.6
1/1/2003,29686.600000000000,195137.6
1/1/2004,31026.600000000000,203743.3
1/1/2005,33530.200000000000,220803.8
1/1/2006,38032.375000000000,232853.6
1/1/2007,42845.800000000000,248571.6
1/1/2008,46179.000000000000,257606.1
1/1/2009,41616.325000000000,249817.1
1/1/2010,40456.925000000000,256771.8
1/1/2011,47329.600000000000,266114.1
1/1/2012,51169.175000000000,274738.8
1/1/2013,50846.025000000000,291265.3
1/1/2014,55932.725000000000,309223.9
1/1/2015,60292.300000000000,320895.9
1/1/2016,62079.650000000000,330565.9
1/1/2017,66362.950000000000,350209.1
1/1/2018,71709.200000000000,373923.1
1/1/2019,78323.775000000000,397701.6
1/1/2020,80042.000000000000,397612.2
1/1/2021,90178.275000000000,447051.7
1/1/2022,98386.350000000000,491289
1/1/2023,106481.550000000000,520389
