DATE,HPI
1/1/1997,208.9550000000000000
1/1/1998,221.3925000000000000
1/1/1999,240.7575000000000000
1/1/2000,268.8175000000000000
1/1/2001,293.9300000000000000
1/1/2002,308.5525000000000000
1/1/2003,316.5350000000000000
1/1/2004,327.6425000000000000
1/1/2005,343.6875000000000000
1/1/2006,354.1850000000000000
1/1/2007,358.5875000000000000
1/1/2008,355.3725000000000000
1/1/2009,349.8175000000000000
1/1/2010,338.3500000000000000
1/1/2011,327.7500000000000000
1/1/2012,332.4750000000000000
1/1/2013,351.9675000000000000
1/1/2014,380.2475000000000000
1/1/2015,420.7450000000000000
1/1/2016,464.3400000000000000
1/1/2017,506.3500000000000000
1/1/2018,548.7175000000000000
1/1/2019,575.7750000000000000
1/1/2020,603.6325000000000000
1/1/2021,695.7525000000000000
1/1/2022,810.2125000000000000
1/1/2023,826.2425000000000000
